BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,MealPlan,Parking,RoomType,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus,guests,arrival_date,total_stays
19,34,2018,11,14,Meal Plan 1,0,Room_Type 1,Online,0,0,0,74.8,2,0,1,2018-11-14,7
20,20,2018,9,24,Not Selected,0,Room_Type 1,Online,0,0,0,101.2,0,1,2,2018-9-24,4
21,6,2018,10,31,Meal Plan 1,0,Room_Type 1,Online,0,0,0,121.75,2,1,1,2018-10-31,4
22,14,2018,4,29,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,65.0,0,1,2,2018-4-29,1
23,6,2018,1,12,Not Selected,0,Room_Type 1,Online,0,0,0,69.5,2,1,2,2018-1-12,2
24,31,2018,11,14,Meal Plan 1,0,Room_Type 1,Online,0,0,0,64.67,1,1,2,2018-11-14,7
25,4,2018,10,14,Meal Plan 1,0,Room_Type 1,Complementary,1,0,7,0.0,1,1,3,2018-10-14,2
26,53,2018,9,17,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,80.75,0,1,3,2018-9-17,4
27,13,2018,1,20,Meal Plan 1,0,Room_Type 1,Online,0,0,0,75.0,0,1,1,2018-1-20,10
28,6,2018,6,12,Not Selected,0,Room_Type 1,Online,0,0,0,119.0,1,0,1,2018-6-12,1
29,99,2018,9,12,Not Selected,0,Room_Type 1,Online,0,0,0,125.1,0,0,2,2018-9-12,3
30,148,2018,4,29,Meal Plan 1,0,Room_Type 1,Online,0,0,0,71.37,0,1,2,2018-4-29,9
31,6,2018,9,15,Meal Plan 1,0,Room_Type 1,Online,0,0,0,159.0,1,0,1,2018-9-15,2
32,131,2018,4,16,Meal Plan 1,0,Room_Type 1,Online,0,0,0,82.79,2,1,2,2018-4-16,5
33,308,2018,11,25,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,52.0,0,0,2,2018-11-25,2
34,118,2018,10,27,Meal Plan 1,0,Room_Type 4,Online,0,0,0,123.3,0,0,2,2018-10-27,5
35,48,2018,9,19,Meal Plan 1,0,Room_Type 1,Online,0,0,0,135.9,1,1,2,2018-9-19,2
36,156,2018,8,8,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,72.25,0,1,2,2018-8-8,7
37,97,2017,10,19,Meal Plan 1,0,Room_Type 2,Online,0,0,0,68.65,2,1,2,2017-10-19,3
38,1,2018,11,25,Meal Plan 1,0,Room_Type 6,Online,0,0,0,181.0,2,1,4,2018-11-25,1
39,10,2018,9,11,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,95.0,0,1,2,2018-9-11,3
40,80,2017,10,9,Meal Plan 2,0,Room_Type 4,Offline,0,0,0,136.0,0,1,2,2017-10-9,2
41,81,2018,3,9,Not Selected,0,Room_Type 1,Online,0,0,0,67.5,1,1,2,2018-3-9,3
42,25,2018,12,27,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,60.0,1,1,3,2018-12-27,3
43,176,2018,8,9,Meal Plan 1,0,Room_Type 4,Online,0,0,0,137.7,2,0,3,2018-8-9,3
44,108,2018,7,16,Meal Plan 1,0,Room_Type 4,Online,0,0,0,121.37,0,0,2,2018-7-16,7
45,433,2018,9,8,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,70.0,0,0,2,2018-9-8,3
46,48,2017,9,11,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,80.0,0,1,1,2017-9-11,1
47,141,2018,5,18,Meal Plan 1,0,Room_Type 4,Offline,0,0,0,115.61,1,1,3,2018-5-18,2
48,1,2017,8,20,Meal Plan 1,0,Room_Type 1,Online,0,0,0,106.0,3,1,2,2017-8-20,2
49,21,2018,2,6,Meal Plan 1,0,Room_Type 1,Online,0,0,0,91.0,0,0,2,2018-2-6,1
50,1,2018,9,29,Meal Plan 1,0,Room_Type 1,Online,0,0,0,106.2,1,1,2,2018-9-29,1
51,45,2018,4,13,Not Selected,0,Room_Type 1,Online,0,0,0,94.5,1,1,2,2018-4-13,2
52,1,2018,2,19,Meal Plan 1,1,Room_Type 1,Corporate,0,0,0,91.0,0,1,2,2018-2-19,1
53,2,2017,11,9,Meal Plan 1,0,Room_Type 1,Complementary,0,0,0,79.0,0,1,1,2017-11-9,3
54,131,2018,5,5,Meal Plan 1,0,Room_Type 4,Online,0,0,0,114.3,1,0,2,2018-5-5,3
55,211,2018,5,20,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,100.0,0,0,2,2018-5-20,2
56,74,2017,9,18,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,109.0,2,1,2,2017-9-18,2
57,113,2018,7,18,Meal Plan 1,0,Room_Type 1,Online,0,0,0,107.55,0,0,2,2018-7-18,4
58,4,2018,5,1,Meal Plan 1,0,Room_Type 1,Online,0,0,0,125.0,1,1,1,2018-5-1,1
59,33,2018,10,28,Not Selected,0,Room_Type 1,Online,0,0,0,109.0,1,0,2,2018-10-28,4
60,150,2018,7,14,Meal Plan 1,0,Room_Type 4,Online,0,0,0,131.75,2,0,3,2018-7-14,10
61,27,2018,12,1,Meal Plan 1,0,Room_Type 1,Online,0,0,0,96.0,1,1,1,2018-12-1,4
62,54,2018,6,3,Meal Plan 1,0,Room_Type 4,Online,0,0,0,140.4,0,1,2,2018-6-3,1
63,87,2018,7,1,Meal Plan 1,0,Room_Type 1,Online,0,0,0,114.3,2,1,2,2018-7-1,2
64,4,2018,2,5,Not Selected,0,Room_Type 1,Online,0,0,0,81.0,0,0,2,2018-2-5,4
65,93,2018,10,16,Meal Plan 1,0,Room_Type 4,Online,0,0,0,129.51,0,0,2,2018-10-16,10
66,386,2018,10,23,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,115.0,1,0,2,2018-10-23,2
67,0,2018,6,3,Not Selected,0,Room_Type 1,Online,0,0,0,129.0,1,1,2,2018-6-3,1
68,145,2017,8,29,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,94.5,0,1,2,2017-8-29,3
69,241,2018,10,30,Meal Plan 1,0,Room_Type 4,Online,0,0,0,75.92,1,1,2,2018-10-30,5
70,163,2018,8,26,Meal Plan 1,0,Room_Type 1,Online,0,0,0,96.3,0,0,2,2018-8-26,2
71,71,2018,10,7,Meal Plan 1,0,Room_Type 2,Online,0,0,0,108.0,1,1,2,2018-10-7,1
72,1,2017,12,15,Meal Plan 1,0,Room_Type 1,Corporate,1,0,2,75.0,0,1,1,2017-12-15,1
73,26,2018,4,11,Not Selected,0,Room_Type 1,Online,0,0,0,89.0,1,1,2,2018-4-11,1
74,64,2018,6,19,Not Selected,0,Room_Type 1,Online,0,0,0,116.1,0,0,2,2018-6-19,4
75,292,2018,7,21,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,115.0,0,0,2,2018-7-21,2
76,71,2018,6,14,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,120.0,0,1,1,2018-6-14,3
77,1,2018,3,12,Meal Plan 1,0,Room_Type 1,Online,0,0,0,88.43,1,1,2,2018-3-12,2
78,266,2018,12,26,Meal Plan 1,0,Room_Type 1,Online,0,0,0,73.95,0,0,2,2018-12-26,4
79,258,2018,10,16,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,110.0,0,0,2,2018-10-16,1
80,10,2017,10,5,Meal Plan 1,0,Room_Type 1,Online,0,0,0,135.5,1,1,2,2017-10-5,4
81,40,2017,10,19,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,75.6,0,0,1,2017-10-19,3
82,129,2018,4,11,Not Selected,0,Room_Type 1,Online,0,0,0,80.75,1,1,2,2018-4-11,4
83,5,2018,7,12,Meal Plan 1,0,Room_Type 4,Online,0,0,0,187.0,1,0,3,2018-7-12,3
84,158,2018,4,16,Meal Plan 1,0,Room_Type 2,Online,0,0,0,69.92,1,1,2,2018-4-16,3
85,130,2018,6,27,Meal Plan 1,0,Room_Type 1,Online,0,0,0,96.3,0,1,2,2018-6-27,3
86,42,2018,1,16,Meal Plan 1,0,Room_Type 1,Online,0,0,0,78.3,1,1,2,2018-1-16,3
87,0,2018,5,24,Not Selected,0,Room_Type 1,Online,0,0,0,105.34,1,1,1,2018-5-24,1
88,23,2018,9,5,Meal Plan 1,0,Room_Type 1,Online,0,0,0,93.94,0,0,2,2018-9-5,1
89,39,2018,1,17,Meal Plan 1,0,Room_Type 4,Online,0,0,0,89.3,1,1,2,2018-1-17,2
90,179,2018,8,31,Meal Plan 1,0,Room_Type 1,Online,0,0,0,111.6,0,0,3,2018-8-31,2
91,1,2018,1,27,Meal Plan 1,0,Room_Type 1,Online,0,0,0,71.2,0,1,1,2018-1-27,2
92,13,2018,3,27,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,79.15,0,1,2,2018-3-27,4
93,69,2017,7,12,Meal Plan 1,0,Room_Type 1,Online,0,0,0,76.5,1,0,2,2017-7-12,2
94,69,2018,10,17,Meal Plan 1,0,Room_Type 4,Offline,0,0,0,90.95,1,1,2,2018-10-17,4
95,40,2018,8,28,Meal Plan 1,0,Room_Type 1,Online,0,0,0,127.16,0,1,3,2018-8-28,7
96,0,2018,7,20,Meal Plan 2,0,Room_Type 1,Online,0,0,0,0.0,0,1,2,2018-7-20,1
97,82,2018,4,6,Meal Plan 1,0,Room_Type 4,Online,0,0,0,99.45,0,0,2,2018-4-6,5
98,186,2018,8,6,Meal Plan 1,0,Room_Type 4,Online,0,0,0,130.05,2,0,3,2018-8-6,8
99,195,2018,8,7,Not Selected,0,Room_Type 1,Online,0,0,0,99.0,1,0,2,2018-8-7,3
100,16,2017,9,9,Meal Plan 1,0,Room_Type 1,Online,0,0,0,131.0,2,1,3,2017-9-9,3
101,9,2018,2,24,Meal Plan 1,0,Room_Type 1,Online,0,0,0,67.22,1,1,1,2018-2-24,2
102,25,2018,10,17,Meal Plan 1,0,Room_Type 1,Online,0,0,0,129.0,2,1,1,2018-10-17,3
103,215,2018,5,4,Meal Plan 1,0,Room_Type 1,Online,0,0,0,100.8,2,0,1,2018-5-4,4
104,5,2017,11,10,Meal Plan 1,0,Room_Type 4,Online,0,0,0,76.58,1,1,2,2017-11-10,4
105,15,2018,8,28,Meal Plan 1,0,Room_Type 1,Online,0,0,0,130.0,1,1,2,2018-8-28,2
106,221,2017,10,10,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,65.0,0,1,2,2017-10-10,3
107,38,2018,3,5,Not Selected,0,Room_Type 1,Online,0,0,0,67.6,1,1,1,2018-3-5,1
108,15,2018,3,4,Meal Plan 1,0,Room_Type 4,Online,0,0,0,135.0,2,1,3,2018-3-4,2
109,99,2018,2,14,Meal Plan 1,0,Room_Type 2,Online,0,0,0,79.5,2,1,2,2018-2-14,4
110,185,2018,12,16,Meal Plan 1,0,Room_Type 4,Online,0,0,0,103.5,0,1,2,2018-12-16,3
111,0,2018,10,15,Not Selected,0,Room_Type 1,Online,0,0,0,66.13,0,1,1,2018-10-15,2
112,19,2018,12,28,Meal Plan 1,0,Room_Type 4,Online,0,0,0,121.2,2,1,2,2018-12-28,7
113,3,2017,8,18,Meal Plan 1,0,Room_Type 1,Online,0,0,0,122.0,2,1,2,2017-8-18,2
114,41,2017,11,1,Meal Plan 1,0,Room_Type 4,Offline,0,0,0,60.0,1,1,2,2017-11-1,5
115,1,2018,2,26,Meal Plan 1,0,Room_Type 4,Online,0,0,0,127.0,0,1,3,2018-2-26,1
116,88,2018,4,8,Not Selected,0,Room_Type 1,Online,0,0,0,58.9,1,1,2,2018-4-8,3
117,26,2017,10,19,Meal Plan 1,0,Room_Type 4,Offline,0,0,0,75.0,1,1,2,2017-10-19,4
118,20,2018,11,1,Not Selected,0,Room_Type 1,Online,0,0,0,76.0,0,1,2,2018-11-1,3
119,54,2017,10,5,Meal Plan 1,0,Room_Type 1,Corporate,0,0,0,65.0,0,1,1,2017-10-5,1
120,65,2018,9,7,Meal Plan 1,0,Room_Type 4,Online,0,0,0,136.8,0,0,2,2018-9-7,3
121,259,2018,5,5,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,90.0,0,0,2,2018-5-5,3
122,141,2018,5,15,Meal Plan 1,0,Room_Type 1,Online,0,0,0,104.55,1,1,2,2018-5-15,4
123,65,2017,12,30,Meal Plan 1,0,Room_Type 1,Online,0,0,0,96.2,1,1,2,2017-12-30,5
124,19,2018,9,23,Meal Plan 1,0,Room_Type 1,Online,0,0,0,139.0,1,1,2,2018-9-23,3
125,64,2018,10,25,Not Selected,0,Room_Type 1,Online,0,0,0,80.1,0,1,2,2018-10-25,2
126,46,2018,8,28,Meal Plan 1,0,Room_Type 1,Online,0,0,0,81.31,0,1,2,2018-8-28,6
127,5,2018,4,4,Meal Plan 1,0,Room_Type 1,Online,0,0,0,95.0,1,1,1,2018-4-4,2
128,7,2018,12,20,Meal Plan 1,0,Room_Type 1,Online,0,0,0,100.73,0,1,3,2018-12-20,4
129,99,2018,4,5,Meal Plan 1,0,Room_Type 1,Online,0,0,0,90.63,0,1,3,2018-4-5,3
130,3,2017,10,19,Not Selected,0,Room_Type 1,Online,0,0,0,133.0,1,1,1,2017-10-19,3
131,55,2018,6,26,Meal Plan 1,0,Room_Type 1,Online,0,0,0,108.9,1,0,2,2018-6-26,4
132,9,2017,12,27,Meal Plan 1,0,Room_Type 1,Online,0,0,0,103.67,1,1,2,2017-12-27,3
133,286,2018,9,16,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,117.0,0,0,2,2018-9-16,2
134,60,2018,12,23,Meal Plan 1,0,Room_Type 6,Online,0,0,0,156.6,1,1,4,2018-12-23,1
135,84,2018,9,7,Meal Plan 1,0,Room_Type 1,Corporate,0,0,0,65.0,0,1,1,2018-9-7,1
136,8,2018,3,18,Meal Plan 1,0,Room_Type 6,Online,0,0,0,214.6,0,0,4,2018-3-18,5
137,30,2018,1,1,Not Selected,0,Room_Type 1,Online,0,0,0,92.0,1,1,2,2018-1-1,2
138,20,2018,8,31,Meal Plan 1,0,Room_Type 1,Online,0,0,0,122.0,1,0,2,2018-8-31,2
139,69,2018,5,9,Meal Plan 1,0,Room_Type 1,Online,0,0,0,135.15,2,1,2,2018-5-9,5
140,305,2018,11,4,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,89.0,0,0,2,2018-11-4,3
141,0,2018,3,9,Meal Plan 1,0,Room_Type 1,Corporate,1,2,24,65.0,1,1,1,2018-3-9,1
142,32,2018,2,5,Meal Plan 1,0,Room_Type 1,Online,0,0,0,80.3,1,1,3,2018-2-5,5
143,64,2018,8,29,Meal Plan 1,0,Room_Type 1,Online,0,0,0,148.5,2,0,3,2018-8-29,5
144,33,2018,11,13,Meal Plan 1,0,Room_Type 1,Online,0,0,0,97.4,1,1,2,2018-11-13,4
145,122,2018,4,15,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,85.0,0,1,2,2018-4-15,2
146,99,2018,8,8,Meal Plan 1,0,Room_Type 4,Online,0,0,0,166.4,2,0,3,2018-8-8,3
147,146,2018,7,16,Meal Plan 1,0,Room_Type 1,Online,0,0,0,99.45,1,1,2,2018-7-16,4
148,173,2018,3,31,Meal Plan 1,0,Room_Type 1,Online,0,0,0,100.8,2,0,2,2018-3-31,3
149,4,2018,9,5,Not Selected,0,Room_Type 1,Online,0,0,0,149.0,0,0,2,2018-9-5,2
150,26,2018,8,30,Meal Plan 1,0,Room_Type 1,Online,0,0,0,122.0,2,1,2,2018-8-30,2
151,123,2018,3,30,Meal Plan 1,0,Room_Type 4,Online,0,0,0,110.33,0,0,2,2018-3-30,3
152,5,2018,4,11,Meal Plan 1,0,Room_Type 1,Aviation,0,0,0,95.0,0,1,1,2018-4-11,11
153,256,2018,6,15,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,115.0,1,0,2,2018-6-15,2
154,58,2018,3,21,Not Selected,0,Room_Type 1,Online,0,0,0,83.3,1,0,2,2018-3-21,4
155,0,2018,4,5,Not Selected,0,Room_Type 1,Online,0,0,0,89.0,0,1,1,2018-4-5,1
156,5,2018,11,6,Meal Plan 1,0,Room_Type 1,Online,0,0,0,113.23,1,1,1,2018-11-6,5
157,6,2018,9,19,Meal Plan 1,0,Room_Type 1,Online,0,0,0,129.7,0,1,1,2018-9-19,2
158,125,2018,4,12,Meal Plan 1,0,Room_Type 4,Online,0,0,0,99.45,0,1,2,2018-4-12,5
159,263,2018,9,29,Meal Plan 1,0,Room_Type 1,Online,0,0,0,100.3,0,0,2,2018-9-29,6
160,220,2018,8,15,Not Selected,1,Room_Type 1,Online,0,0,0,99.0,1,1,2,2018-8-15,2
161,39,2017,8,14,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,109.0,0,1,2,2017-8-14,2
162,37,2018,11,1,Meal Plan 1,1,Room_Type 1,Online,0,0,0,135.0,1,1,3,2018-11-1,2
163,18,2018,6,2,Meal Plan 1,0,Room_Type 4,Online,0,0,0,140.9,1,1,2,2018-6-2,4
164,17,2018,12,29,Meal Plan 1,0,Room_Type 1,Online,0,0,0,152.1,1,1,3,2018-12-29,4
165,124,2018,10,9,Meal Plan 1,0,Room_Type 4,Online,0,0,0,135.0,0,0,3,2018-10-9,2
166,22,2018,9,27,Meal Plan 1,0,Room_Type 1,Online,0,0,0,133.0,1,1,1,2018-9-27,2
167,156,2018,8,16,Meal Plan 2,0,Room_Type 1,Online,0,0,0,134.58,1,0,2,2018-8-16,9
168,65,2018,4,23,Meal Plan 1,0,Room_Type 4,Online,0,0,0,118.8,1,1,2,2018-4-23,1
169,186,2018,4,22,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,40.0,0,1,2,2018-4-22,3
170,78,2018,3,25,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,100.0,0,0,2,2018-3-25,3
171,50,2018,4,11,Meal Plan 1,0,Room_Type 1,Online,0,0,0,99.45,0,0,2,2018-4-11,4
172,178,2018,7,28,Meal Plan 1,0,Room_Type 4,Online,0,0,0,127.62,1,0,3,2018-7-28,7
173,141,2017,9,20,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,90.0,0,0,2,2017-9-20,1
174,3,2018,1,18,Meal Plan 1,0,Room_Type 1,Corporate,1,2,17,66.0,0,1,1,2018-1-18,3
175,52,2018,4,21,Not Selected,0,Room_Type 1,Online,0,0,0,94.5,0,0,2,2018-4-21,2
176,143,2018,8,25,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,100.0,0,1,2,2018-8-25,3
177,124,2017,8,8,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,94.5,0,1,2,2017-8-8,3
178,84,2018,8,15,Meal Plan 1,0,Room_Type 1,Online,0,0,0,117.9,1,1,2,2018-8-15,1
179,16,2018,1,27,Meal Plan 1,1,Room_Type 1,Online,0,0,0,102.0,1,1,2,2018-1-27,1
180,99,2018,5,6,Meal Plan 1,0,Room_Type 4,Online,0,0,0,134.16,2,1,2,2018-5-6,5
181,24,2018,12,21,Meal Plan 1,0,Room_Type 6,Online,0,0,0,147.9,1,1,4,2018-12-21,4
182,11,2018,1,24,Meal Plan 1,0,Room_Type 1,Online,0,0,0,70.3,1,1,1,2018-1-24,2
183,118,2018,7,1,Meal Plan 1,0,Room_Type 1,Online,0,0,0,107.95,1,1,2,2018-7-1,7
184,145,2018,1,3,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,65.0,0,1,2,2018-1-3,3
185,30,2018,6,22,Meal Plan 1,0,Room_Type 1,Online,0,0,0,126.9,0,0,2,2018-6-22,1
186,6,2018,2,22,Meal Plan 1,0,Room_Type 1,Online,0,0,0,92.0,0,1,1,2018-2-22,3
187,55,2018,2,1,Meal Plan 1,0,Room_Type 1,Online,0,0,0,75.95,0,1,2,2018-2-1,4
188,20,2018,1,31,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,66.0,0,1,2,2018-1-31,3
189,1,2017,9,9,Meal Plan 1,0,Room_Type 1,Corporate,0,0,0,90.0,0,1,1,2017-9-9,2
190,58,2018,6,1,Meal Plan 1,0,Room_Type 4,Online,0,0,0,140.4,0,0,2,2018-6-1,3
191,0,2018,8,7,Not Selected,0,Room_Type 1,Online,0,0,0,98.0,1,0,2,2018-8-7,1
192,250,2018,10,28,Meal Plan 1,0,Room_Type 1,Online,0,0,0,90.95,0,0,2,2018-10-28,4
193,124,2017,8,8,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,94.5,0,0,2,2017-8-8,3
194,34,2017,12,1,Meal Plan 1,0,Room_Type 1,Corporate,0,0,0,80.0,0,1,1,2017-12-1,3
195,0,2018,8,23,Meal Plan 1,0,Room_Type 4,Online,0,0,0,225.0,2,1,3,2018-8-23,1
196,88,2018,11,7,Meal Plan 1,0,Room_Type 1,Online,0,0,0,136.06,1,0,1,2018-11-7,4
197,16,2017,9,18,Meal Plan 1,0,Room_Type 1,Online,0,0,0,154.4,1,0,2,2017-9-18,5
198,10,2018,3,5,Meal Plan 1,0,Room_Type 1,Corporate,1,2,24,66.0,1,1,1,2018-3-5,4
199,3,2018,8,20,Meal Plan 1,0,Room_Type 1,Online,0,0,0,140.0,3,1,2,2018-8-20,1
200,13,2018,2,16,Meal Plan 1,0,Room_Type 1,Online,0,0,0,85.0,0,1,1,2018-2-16,1
201,174,2018,8,2,Meal Plan 1,0,Room_Type 4,Online,0,0,0,166.7,2,0,4,2018-8-2,2
202,28,2018,3,27,Meal Plan 1,0,Room_Type 1,Online,0,0,0,167.0,0,0,3,2018-3-27,1
203,159,2018,8,20,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,72.25,0,1,2,2018-8-20,4
204,53,2018,5,17,Meal Plan 1,0,Room_Type 1,Online,0,0,0,126.9,1,1,2,2018-5-17,1
205,1,2018,9,29,Meal Plan 2,0,Room_Type 1,Corporate,0,0,0,146.0,0,1,2,2018-9-29,3
206,163,2018,10,15,Meal Plan 1,0,Room_Type 1,Online,0,0,0,115.0,0,0,1,2018-10-15,3
207,9,2018,2,17,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,117.0,0,1,2,2018-2-17,3
208,96,2017,7,22,Meal Plan 1,0,Room_Type 1,Online,0,0,0,76.5,1,0,2,2017-7-22,5
209,24,2017,9,19,Meal Plan 1,0,Room_Type 1,Online,0,0,0,87.78,2,1,1,2017-9-19,2
210,127,2018,3,19,Meal Plan 1,0,Room_Type 2,Online,0,0,0,94.7,1,0,2,2018-3-19,7
211,35,2018,2,24,Meal Plan 1,0,Room_Type 1,Online,0,0,0,93.63,1,1,3,2018-2-24,3
212,45,2018,3,19,Meal Plan 1,0,Room_Type 4,Online,0,0,0,131.4,1,0,3,2018-3-19,2
213,40,2018,7,26,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,125.0,1,1,2,2018-7-26,1
214,59,2018,6,27,Not Selected,0,Room_Type 1,Online,0,0,0,101.1,0,0,2,2018-6-27,3
215,19,2017,10,27,Meal Plan 1,0,Room_Type 1,Corporate,0,0,0,95.0,1,1,1,2017-10-27,1
216,8,2018,5,28,Meal Plan 1,0,Room_Type 4,Online,0,0,0,130.48,0,0,1,2018-5-28,4
217,146,2018,10,19,Meal Plan 2,0,Room_Type 4,Online,0,0,0,166.5,2,1,2,2018-10-19,5
218,39,2018,3,4,Meal Plan 1,0,Room_Type 1,Online,0,0,0,76.5,0,0,1,2018-3-4,2
219,145,2018,6,30,Meal Plan 1,0,Room_Type 1,Online,0,0,0,90.95,1,1,2,2018-6-30,4
220,301,2018,7,30,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,115.0,1,0,2,2018-7-30,2
221,123,2018,4,21,Meal Plan 1,0,Room_Type 1,Online,0,0,0,93.08,0,1,2,2018-4-21,4
222,87,2018,4,30,Not Selected,0,Room_Type 1,Online,0,0,0,111.6,1,0,1,2018-4-30,2
223,45,2018,4,24,Meal Plan 1,0,Room_Type 1,Online,0,0,0,99.79,0,1,2,2018-4-24,5
224,102,2018,5,29,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,80.75,0,1,2,2018-5-29,3
225,86,2018,10,24,Meal Plan 2,0,Room_Type 6,Online,0,0,0,221.18,0,0,4,2018-10-24,4
226,4,2018,2,19,Meal Plan 1,0,Room_Type 1,Corporate,0,0,0,81.0,0,1,1,2018-2-19,1
227,117,2018,10,24,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,80.75,0,1,2,2018-10-24,3
228,42,2018,7,24,Meal Plan 1,0,Room_Type 4,Online,0,0,0,168.3,1,1,3,2018-7-24,2
229,270,2018,4,20,Meal Plan 1,0,Room_Type 1,Online,0,0,0,62.8,0,0,2,2018-4-20,4
230,34,2018,4,30,Meal Plan 1,0,Room_Type 4,Online,0,0,0,159.3,0,0,3,2018-4-30,2
231,59,2018,7,24,Not Selected,0,Room_Type 1,Online,0,0,0,94.5,1,1,2,2018-7-24,4
232,118,2018,6,6,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,110.0,0,1,1,2018-6-6,3
233,86,2017,9,24,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,105.0,0,1,2,2017-9-24,2
234,317,2018,9,15,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,120.0,0,0,2,2018-9-15,2
235,5,2017,9,19,Meal Plan 1,0,Room_Type 1,Online,0,0,0,135.5,0,1,2,2017-9-19,2
236,78,2018,4,8,Meal Plan 1,0,Room_Type 1,Online,0,0,0,96.3,0,1,2,2018-4-8,3
237,175,2018,7,23,Not Selected,0,Room_Type 1,Online,0,0,0,85.5,1,1,2,2018-7-23,2
